2008-04-21,0.077
2008-04-22,0.111
2008-04-23,1.734
2008-04-24,1.409
2008-04-25,1.845
2008-04-26,0.040
2008-04-27,0.046
2008-04-28,0.031
2008-04-29,0.486
2008-04-30,0.093
2008-05-01,0.175
2008-05-02,0.048
2008-05-03,0.002
2008-05-04,0.000
2008-05-05,0.001
2008-05-06,0.000
2008-05-07,0.000
2008-05-08,0.011
2008-05-09,1.463
2008-05-10,0.033
2008-05-11,0.239
2008-05-12,0.006
2008-05-13,0.000
2008-05-14,0.008
2008-05-15,0.029
2008-05-16,0.001
2008-05-17,0.000
2008-05-18,0.000
2008-05-19,0.000
2008-05-20,0.000
2008-05-21,0.000
2008-05-22,0.000
2008-05-23,0.000
2008-05-24,0.101
2008-05-25,0.029
2008-05-26,0.001
2008-05-27,0.000
2008-05-28,0.065
2008-05-29,0.028
2008-05-30,0.000
2008-05-31,0.000
2008-06-01,0.000
2008-06-02,0.000
2008-06-03,0.013
2008-06-04,0.000
2008-06-05,0.015
2008-06-06,0.000
2008-06-07,0.000
2008-06-08,0.000
2008-06-09,0.000
2008-06-10,0.000
2008-06-11,0.000
2008-06-12,0.000
2008-06-13,0.000
2008-06-14,0.000
2008-06-15,0.000
2008-06-16,0.000
2008-06-17,0.000
2008-06-18,0.000
2008-06-19,0.000
2008-06-20,0.000
2008-06-21,0.000
2008-06-22,0.000
2008-06-23,0.000
2008-06-24,0.000
2008-06-25,0.000
2008-06-26,0.000
2008-06-27,0.000
2008-06-28,0.000
2008-06-29,0.000
2008-06-30,0.058
2008-07-01,0.001
2008-07-02,0.000
2008-07-03,0.000
2008-07-04,0.005
2008-07-05,0.000
2008-07-06,0.000
2008-07-07,0.000
2008-07-08,0.000
2008-07-09,0.000
2008-07-10,0.000
2008-07-11,0.000
2008-07-12,0.000
2008-07-13,0.000
2008-07-14,0.000
2008-07-15,0.054
2008-07-16,0.213
2008-07-17,0.004
2008-07-18,0.000
2008-07-19,0.000
2008-07-20,0.005
2008-07-21,0.010
2008-07-22,0.028
2008-07-23,0.230
2008-07-24,0.004
2008-07-25,0.002
2008-07-26,0.000
2008-07-27,0.000
2008-07-28,0.000
2008-07-29,0.000
2008-07-30,0.000
2008-07-31,0.001
2008-08-01,0.000
2008-08-02,0.000
2008-08-03,0.007
2008-08-04,0.000
2008-08-05,0.000
2008-08-06,0.000
2008-08-07,0.015
2008-08-08,0.000
2008-08-09,0.000
2008-08-10,0.000
2008-08-11,0.068
2008-08-12,0.001
2008-08-13,0.000
2008-08-14,0.000
2008-08-15,0.036
2008-08-16,0.005
2008-08-17,0.020
2008-08-18,0.000
2008-08-19,0.000
2008-08-20,0.000
2008-08-21,0.000
2008-08-22,0.000
2008-08-23,0.004
2008-08-24,0.000
2008-08-25,0.000
2008-08-26,0.000
2008-08-27,0.000
2008-08-28,0.000
2008-08-29,0.000
2008-08-30,0.000
2008-08-31,0.000
2008-09-01,0.000
2008-09-02,0.000
2008-09-03,0.000
2008-09-04,0.000
2008-09-05,0.000
2008-09-06,0.000
2008-09-07,0.000
2008-09-08,0.005
2008-09-09,0.000
2008-09-10,0.000
2008-09-11,0.000
2008-09-12,0.000
2008-09-13,0.000
2008-09-14,0.000
2008-09-15,0.000
2008-09-16,0.000
2008-09-17,0.000
2008-09-18,0.000
2008-09-19,0.000
2008-09-20,0.000
2008-09-21,0.000
2008-09-22,0.926
2008-09-23,0.111
2008-09-24,0.034
2008-09-25,0.093
2008-09-26,0.002
2008-09-27,0.000
2008-09-28,0.002
2008-09-29,0.000
2008-09-30,0.000
2008-10-01,0.000
2008-10-02,0.000
2008-10-03,0.022
2008-10-04,0.000
2008-10-05,0.000
2008-10-06,0.000
2008-10-07,0.421
2008-10-08,0.044
2008-10-09,0.054
2008-10-10,0.103
2008-10-11,5.027
2008-10-12,0.323
2008-10-13,0.015
2008-10-14,0.000
2008-10-15,0.000
2008-10-16,0.000
2008-10-17,0.000
2008-10-18,0.002
2008-10-19,0.000
2008-10-20,0.000
2008-10-21,0.008
2008-10-22,0.000
2008-10-23,0.000
2008-10-24,0.005
2008-10-25,0.019
2008-10-26,4.057
2008-10-27,0.079
2008-10-28,0.478
2008-10-29,0.048
2008-10-30,0.251
2008-10-31,0.060
2008-11-01,0.060
2008-11-02,0.016
2008-11-03,0.002
2008-11-04,0.004
2008-11-05,2.614
2008-11-06,3.291
2008-11-07,0.505
2008-11-08,0.084
2008-11-09,0.015
2008-11-10,0.036
2008-11-11,0.071
2008-11-12,0.084
2008-11-13,0.336
2008-11-14,0.382
2008-11-15,0.007
2008-11-16,0.000
2008-11-17,0.015
2008-11-18,0.003
2008-11-19,0.044
2008-11-20,0.758
2008-11-21,0.268
2008-11-22,0.599
2008-11-23,1.051
2008-11-24,0.273
2008-11-25,0.092
2008-11-26,0.880
2008-11-27,1.062
2008-11-28,3.090
2008-11-29,1.991
2008-11-30,0.530
2008-12-01,1.561
2008-12-02,0.336
2008-12-03,1.944
2008-12-04,0.712
2008-12-05,0.358
2008-12-06,0.123
2008-12-07,0.014
2008-12-08,0.600
2008-12-09,0.804
2008-12-10,2.422
2008-12-11,1.083
2008-12-12,0.781
2008-12-13,0.655
2008-12-14,0.192
2008-12-15,0.460
2008-12-16,0.401
2008-12-17,3.340
2008-12-18,4.190
2008-12-19,5.601
2008-12-20,1.405
2008-12-21,0.221
2008-12-22,0.303
2008-12-23,0.046
2008-12-24,0.249
2008-12-25,2.747
2008-12-26,2.376
2008-12-27,0.470
2008-12-28,0.892
2008-12-29,0.158
2008-12-30,0.080
2008-12-31,0.018
